SurveyName;PlotPK;Catchment;Year;Month;Day;Altitude;Aspect;Slope;Litter%;ExposedSoil%;ExposedRock%;BareGround%;MeanTopHeight;MapSeries;MapSheet;PartialEastings;PartialNorthings;RecordedBy;GeneralRemarks
Banks Peninsula Botanical Survey;94044;MT PLEASANT ABOVE BRIDLE PATH;1983;11;2;220;200;61;;1;5;;8;NZMS 1;S 84;070;490;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94045;HEATHCOTE VALLEY;1983;11;2;62;270;20;;;;0;1;NZMS 1;S 84;070;500;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94046;MT PLEASANT, LYTTLETON SIDE;1983;11;3;370;140;83;;;10;;17.5;NZMS 1;S 84;080;490;Hugh D. Wilson;Lichen, moss, algae covered rock : 60%
Banks Peninsula Botanical Survey;94047;SUMNER AT FOOT OF EVANS PASS;1983;11;5;5;;;;;;50;;NZMS 1;S 84;110;500;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94048;UPPER KAITUNA VALLEY;1983;11;6;420;260;;;1;2;;12;NZMS 1;S 84;110;340;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94049;HEAD OF KAITUNA VALLEY;1983;11;6;600;90;;;;18;;50;NZMS 1;S 84;110;350;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94050;HEAD OF KAITUNA VALLEY;1983;11;6;500;;33;;;;1;50;NZMS 1;S 84;100;340;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94051;OTAHUNA, TAI TAPU;1983;11;10;105;340;20;;1;4;;2.5;NZMS 1;S 84;950;400;Hugh D. Wilson;Lichen covered rock: 3 %
Banks Peninsula Botanical Survey;94052;OTAHUNA, PRENDERGAASTS;1983;11;10;75;245;40;;2;11;;;NZMS 1;S 84;960;400;Hugh D. Wilson;Lichen covered rock: 20 %
Banks Peninsula Botanical Survey;94053;ABOVE OTAHUNA, PRENDERGAASTS;1983;11;10;155;205;24;;1;1;;17.5;NZMS 1;S 84;970;400;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94054;NEAR GILBRATOR ROCK;1983;11;10;284;108;17;80;10;;;110;NZMS 1;S 84;980;400;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94055;NEAR OTAHUNA;1983;11;10;10;;;;;;0;7;NZMS 1;S 84;940;400;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94056;RAMAHANA RD, CHCH;1983;11;11;15;;5;;;;90;;NZMS 1;S 84;020;520;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94057;NEAR SANITORIUM;1983;11;11;140;;;;;50;;;NZMS 1;S 84;020;510;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94058;HOON HAY VALLEY;1983;11;12;60;60;21;;;;0;10;NZMS 1;S 84;980;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94059;HOON HAY VALLEY;1983;11;12;155;20;23;30;15;;;110;NZMS 1;S 84;990;460;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94060;BELOW MARLEY'S HILL;1983;11;12;270;350;14;;;;0;20;NZMS 1;S 84;990;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94064;PURAU;1983;11;15;65;35;10;;;;0;3;NZMS 1;S 84;100;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94065;PURAU;1983;11;15;145;20;4;;1;;;14;NZMS 1;S 84;100;410;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94066;PURAU VALLEY;1983;11;15;270;330;13;;;1;;8;NZMS 1;S 84;100;400;Hugh D. Wilson;Lichen covered rock: 3 %
Banks Peninsula Botanical Survey;94067;PURAU VALLEY UNDER HERBERT;1983;11;15;540;320;28;;1;1;;6;NZMS 1;S 84;100;390;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94068;UPPER PURAU VALLEY;1983;11;15;282;340;26;;10;;;60;NZMS 1;S 84;110;390;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94069;PURAU VALLEY;1983;11;15;238;235;25;;1;;;15;NZMS 1;S 84;110;400;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94070;NEAR 22 BACK PEAK OF HERBERT;1983;11;16;792;110;35;;1;1;;2;NZMS 1;S 84;110;360;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94072;UPPER PURAU VALLEY;1983;11;16;604;297;33;;1;1;;5;NZMS 1;S 84;110;370;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94073;PURAU SIDE OF MT HERBERT;1983;11;16;764;297;17;;;;1;6;NZMS 1;S 84;100;370;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94074;UNDER HERBERT PURAU SIDE;1983;11;16;645;62;20;;1;;;9;NZMS 1;S 84;100;380;Hugh D. Wilson;Bare wood: 2 %
Banks Peninsula Botanical Survey;94075;PURAU SLOPES MT EVANS;1983;11;17;214;192;25;;;;0;7.3;NZMS 1;S 84;110;410;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94076;PURAU SLOPES OF MT EVANS;1983;11;17;488;278;43;;;4;;;NZMS 1;S 84;120;410;Hugh D. Wilson;Lichen covered rock: 50%
Banks Peninsula Botanical Survey;94077;MT EVANS RIDGE TOWARDS MONUMENT;1983;11;17;460;152;25;;;;0;7;NZMS 1;S 84;120;400;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94078;HEAD OF PURAU VALLEY;1983;11;17;375;185;30;;;1;;12;NZMS 1;S 84;120;390;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94079;UPPER PURAU VALLEY;1983;11;17;412;50;;;;1;;;NZMS 1;S 84;110;380;Hugh D. Wilson;Lichen covered rock : 1%
Banks Peninsula Botanical Survey;94080;PURAU;1983;11;18;50;268;12;;;;0;;NZMS 1;S 84;110;430;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94081;PURAU SLOPES OF MT EVANS;1983;11;18;395;247;34;;1;4;;12.5;NZMS 1;S 84;120;430;Hugh D. Wilson;Lichen covered rock: 40%
Banks Peninsula Botanical Survey;94082;SLOPES OF MT EVANS ABOVE PURAU;1983;11;18;320;286;32;;1;2;;;NZMS 1;S 84;120;440;Hugh D. Wilson;Lichen covered rock: 3%
Banks Peninsula Botanical Survey;94083;PURAU;1983;11;18;34;260;9;;;;0;7;NZMS 1;S 84;110;440;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94084;TAYLORS MISTAKE;1983;11;25;108;15;19;;;;1;;NZMS 1;S 84;130;490;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94085;GODLEY HEAD;1983;11;25;180;335;15;;;;1;;NZMS 1;S 84;140;490;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94086;ABOVE SUMNER TO EAST;1983;11;26;138;295;24;;4;5;;;NZMS 1;S 84;120;500;Hugh D. Wilson;Total rock: 10%
Banks Peninsula Botanical Survey;94087;TAYLOR'S MISTAKE;1983;11;26;115;130;27;;;;1;;NZMS 1;S 84;120;490;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94088;LIVINGSTONE BAY, LYTTLETON;1983;11;26;73;165;34;;1;1;;5.5;NZMS 1;S 84;120;480;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94089;NEAR EVANS PASS;1983;11;26;190;200;26;;2;35;;3.5;NZMS 1;S 84;110;480;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94090;NEAR EVANS PASS;1983;11;26;260;310;15;;;1;;;NZMS 1;S 84;110;490;Hugh D. Wilson;Lichen covered rock: 10%
Banks Peninsula Botanical Survey;94091;SOUTH OF THE PACKHORSE;1983;11;28;495;80;19;;;;1;5.5;NZMS 1;S 84;040;340;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94092;OFF PACKHORSE TRACK, KAITUNA;1983;11;28;242;200;24;;;;0;70;NZMS 1;S 84;050;340;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94093;SOUTH SLOPES OF MT BRADLEY;1983;11;29;493;85;29;;;1;;17.5;NZMS 1;S 84;060;350;Hugh D. Wilson;Total rock: 4%
Banks Peninsula Botanical Survey;94094;SOUTH SLOPES OF MT BRADLEY;1983;11;29;534;195;25;;;;0;6;NZMS 1;S 84;070;350;Hugh D. Wilson;Lichen covered rock: 2%
Banks Peninsula Botanical Survey;94095;SOUTH SLOPE OF MT BRADLEY;1983;11;29;380;215;75;;;;10;65;NZMS 1;S 84;080;350;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94096;UPPER KAITUNA VALLEY;1983;11;29;380;150;25;10;5;5;;75;NZMS 1;S 84;090;350;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94097;MT HERBERT;1983;11;29;750;105;27;;;1;;6.5;NZMS 1;S 84;090;360;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94098;NORTH SLOPES OF MT BRADLEY;1983;11;30;652;315;30;;1;5;;6.5;NZMS 1;S 84;060;360;Hugh D. Wilson;Total rock: 10%
Banks Peninsula Botanical Survey;94099;NORTH SLOPES OF MT BRADLEY;1983;11;30;457;270;15;;;1;;5;NZMS 1;S 84;060;370;Hugh D. Wilson;Total rock: 1%
Banks Peninsula Botanical Survey;94100;NE FLANKS OF MT BRADLEY;1983;11;30;548;70;70;;;;1;10;NZMS 1;S 84;070;370;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94101;UPPER ORTON BRADLEY VALLEY;1983;11;30;450;270;24;;1;1;;;NZMS 1;S 84;080;370;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94102;BETWEEN HERBERT AND BRADLEY;1983;11;30;700;315;36;;2;4;;;NZMS 1;S 84;080;360;Hugh D. Wilson;Total rock: 4%
Banks Peninsula Botanical Survey;94103;MT BRADLEY NEAR THE PROW;1983;11;30;820;360;26;;;;0;11.5;NZMS 1;S 84;070;360;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94104;NEAR PACKHORSE HUT;1983;11;30;460;245;39;;1;;;20;NZMS 1;S 84;050;360;Hugh D. Wilson;Lichen covered rock: 3%
Banks Peninsula Botanical Survey;94105;KAITUNA VALLEY BELOW BRADLEY;1983;12;1;255;100;24;;;;1;;NZMS 1;S 84;060;340;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94106;KAITUNA VALLEY UNDER BRADLEY;1983;12;1;390;315;19;;;1;;8;NZMS 1;S 84;070;340;Hugh D. Wilson;Lichen covered rock: 20%
Banks Peninsula Botanical Survey;94107;KAITUNA VALLEY;1983;12;1;245;135;40;;;1;;6;NZMS 1;S 84;070;330;Hugh D. Wilson;Lichen covered rock: 10%
Banks Peninsula Botanical Survey;94108;MID KAITUNA VALLEY;1983;12;1;100;80;24;5;4;3;;120;NZMS 1;S 84;060;330;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94109;FLOOR OF KAITUNA VALLEY;1983;12;1;20;;;;;;1;15;NZMS 1;S 84;050;320;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94110;NEHRU DRIVE CASHMERE;1983;12;6;30;;;;;;30;;NZMS 1;S 84;990;510;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94111;FLEA BAY;1983;12;13;180;45;24;;;;1;;NZMS 1;S 94;320;140;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94112;NEAR DAMONS BAY;1983;12;13;145;230;30;;2;4;;6;NZMS 1;S 94;320;130;Hugh D. Wilson;Total rock: 10%
Banks Peninsula Botanical Survey;94113;NEAR DYKE HEAD, FLEA BAY;1983;12;13;220;125;10;;;;0;;NZMS 1;S 94;330;130;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94114;FLEA BAY;1983;12;14;140;75;36;50;1;2;;70;NZMS 1;S 94;320;150;Hugh D. Wilson;Total rock: 50%
Banks Peninsula Botanical Survey;94115;INLAND FROM FLEA BAY;1983;12;14;170;240;33;;;;1;8;NZMS 1;S 94;320;160;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94116;ABOVE FLEA BAY;1983;12;14;380;150;26;;;;1;7;NZMS 1;S 94;320;170;Hugh D. Wilson;Total rock: 3%
Banks Peninsula Botanical Survey;94117;INLAND FROM FLEA BAY;1983;12;14;400;220;22;30;;;;;NZMS 1;S 94;320;180;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94118;ABOVE FLEA BAY;1983;12;15;160;250;34;;4;2;;65;NZMS 1;S 94;330;150;Hugh D. Wilson;Total rock: 4%
Banks Peninsula Botanical Survey;94119;BETWEEN FLEA BAY AND STONY BAY;1983;12;15;244;150;10;;;;0;;NZMS 1;S 94;340;150;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94120;BETWEEN FLEA BAY AND STONY BAY;1983;12;15;170;30;10;;;;0;5;NZMS 1;S 94;350;150;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94121;STONY BAY;1983;12;15;100;360;34;;1;1;;;NZMS 1;S 94;350;160;Hugh D. Wilson;Total rock: 4%
Banks Peninsula Botanical Survey;94122;STONY BAY VALLEY;1983;12;15;185;5;32;;;1;;95;NZMS 1;S 94;340;170;Hugh D. Wilson;Total rock: 3%
Banks Peninsula Botanical Survey;94123;BETWEEN FLEA BAY AND STONY BAY;1983;12;15;385;;8;;;1;;7;NZMS 1;S 94;340;160;Hugh D. Wilson;Total rock: 2%
Banks Peninsula Botanical Survey;94124;FLEA BAY;1983;12;15;197;280;27;;;;1;12;NZMS 1;S 94;330;160;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94125;DAMONS BAY;1983;12;16;190;48;26;;;;1;;NZMS 1;S 94;310;140;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94126;DAMONS BAY;1983;12;16;180;178;;;2;;;15;NZMS 1;S 94;310;150;Hugh D. Wilson;Total rock: <1%
Banks Peninsula Botanical Survey;94127;DAMONS BAY VALLEY;1983;12;16;338;210;22;;;;1;;NZMS 1;S 94;310;160;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94128;ABOVE FLEA BAY;1983;12;16;520;166;16;;;;0;;NZMS 1;S 94;310;170;Hugh D. Wilson;Lichen covered rock: <1%
Banks Peninsula Botanical Survey;94129;UNDER FLAG PEAK, FLEA BAY;1983;12;16;600;206;25;;;;0;5;NZMS 1;S 94;310;180;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94130;QUAIL ISLAND;1983;12;27;42;110;28;;;;0;13;NZMS 1;S 84;050;440;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94131;LONG BAY RD (SHERWOODS);1983;12;31;518;235;27;55;;;;85;NZMS 1;S 94;340;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94132;OTANERITO, LONG BAY;1984;1;1;510;30;8;;;;0;;NZMS 1;S 94;330;210;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94133;OTANERITO, LONG BAY;1984;1;1;365;55;12;;;;1;50;NZMS 1;S 94;340;210;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94134;LONG BAY;1984;1;1;365;150;22;;;1;;;NZMS 1;S 94;350;210;Hugh D. Wilson;Bare wood of lying logs: 1%
Banks Peninsula Botanical Survey;94135;LONG BAY;1984;1;1;360;195;21;75;20;;;110;NZMS 1;S 95;360;210;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94136;LONG BAY;1984;1;1;548;70;9;;;;0;;NZMS 1;S 95;370;210;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94137;LONG BAY;1984;1;1;168;220;22;;15;;;10;NZMS 1;S 95;370;190;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94138;LONG BAY;1984;1;1;322;186;40;55;;;;130;NZMS 1;S 95;370;200;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94139;GOUGHS BAY;1984;1;2;530;25;25;;1;10;;8.5;NZMS 1;S 94;350;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94140;ELLANGOWAN SCENIC RESERVE;1984;1;2;662;175;25;40;;;;110;NZMS 1;S 94;350;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94141;ABOVE GOUGHS BAY;1984;1;2;399;160;28;;;;1;2;NZMS 1;S 95;360;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94142;ABOVE GOUGHS BAY;1984;1;2;400;180;25;;;1;;10;NZMS 1;S 95;370;230;Hugh D. Wilson;Lying wood: 8%. Total rock: 8%
Banks Peninsula Botanical Survey;94143;OTANERITO, ABOVE LONG BAY;1984;1;2;508;40;33;;10;3;;5;NZMS 1;S 94;340;200;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94144;SLEEPY BAY;1984;1;3;80;155;27;;1;1;;12.5;NZMS 1;S 95;370;170;Hugh D. Wilson;Total rock: 1%
Banks Peninsula Botanical Survey;94145;ABOVE REEF NOOK, NEAR STONY BAY;1984;1;3;235;160;19;;;;1;;NZMS 1;S 95;360;170;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94146;ABOVE SLEEPY BAY;1984;1;3;160;200;39;55;;40;;60;NZMS 1;S 95;360;180;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94147;OTANERITO, LONG BAY;1984;1;3;105;355;20;;;;1;12.5;NZMS 1;S 95;360;190;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94148;LONG BAY, OTANERITO;1984;1;3;136;90;6;;;;5;110;NZMS 1;S 94;350;200;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94149;OTANERITO, LONG BAY;1984;1;3;225;200;25;;;;1;9;NZMS 1;S 95;360;200;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94150;HEAD OF TAKAMATUA VALLEY;1984;1;4;542;290;28;;;;1;15;NZMS 1;S 94;340;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94151;OTAHUNA;1984;1;10;135;195;9;;;;0;;NZMS 1;S 84;950;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94152;OTAHUNA;1984;1;10;135;202;15;;;;0;8;NZMS 1;S 84;950;430;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94153;OTAHUNA;1984;1;10;220;248;10;;;;1;;NZMS 1;S 84;960;430;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94154;OTAHUNA;1984;1;10;40;156;22;;;;0;6;NZMS 1;S 84;960;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94155;OTAHUNA;1984;1;10;25;264;14;;;;55;10;NZMS 1;S 84;960;410;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94156;OTAHUNA;1984;1;10;10;;;;;;0;;NZMS 1;S 84;950;410;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94157;AUGUSTA ST, REDCLIFFS;1984;1;13;5;10;5;;;;50;;NZMS 1;S 84;090;520;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94158;ELWORTHY PLACE, RICHMOND HILL;1984;1;15;120;360;;;;;50;;NZMS 1;S 84;110;510;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94159;REYNOLDS VALLEY, OKUTI VALLEY;1984;1;19;335;300;35;3;2;4;;70;NZMS 1;S 94;170;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94160;REYNOLDS VALLEY, OKUTI VALLEY;1984;1;19;670;300;28;;;1;1;7;NZMS 1;S 94;170;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94161;OKUTI VALLEY;1984;1;19;630;285;32;;;1;;7;NZMS 1;S 94;160;220;Hugh D. Wilson;Total rocks: 5%
Banks Peninsula Botanical Survey;94162;OKUTI VALLEY, SOUTH SIDE;1984;1;19;342;260;31;;;;1;10;NZMS 1;S 94;160;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94163;OKUTI VALLEY, SOUTH SIDE;1984;1;20;222;275;26;;3;;;40;NZMS 1;S 94;160;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94164;OKUTI VALLEY, SOUTH SIDE;1984;1;20;135;290;24;80;;;;220;NZMS 1;S 94;150;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94165;OKUTI VALLEY, SOUTH SIDE;1984;1;20;188;225;41;;;1;4;40;NZMS 1;S 94;150;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94166;OKUTI VALLEY, SOUTH SIDE;1984;1;20;508;35;;;;;3;25;NZMS 1;S 94;150;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94167;OKUTI VALLEY, SOUTH SIDE;1984;1;20;380;350;12;;3;;;8;NZMS 1;S 94;140;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94168;OKUTI VALLEY, SOUTH SIDE;1984;1;20;150;50;32;80;;;;250;NZMS 1;S 94;140;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94169;OKUTI VALLEY, SOUTH SIDE;1984;1;20;80;355;20;96;;;;80;NZMS 1;S 94;140;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94170;HEAD OF OKUTI VALLEY;1984;1;21;342;220;46;40;30;;;60;NZMS 1;S 94;190;260;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94171;OKUTI VALLEY - HEAD;1984;1;21;480;200;16;;5;3;;;NZMS 1;S 94;200;260;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94172;HEAD OF OKUTI VALLEY;1984;1;21;520;225;32;;;;2;5;NZMS 1;S 94;200;250;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94173;NEAR SADDLE HILL, OKUTI VALLEY;1984;1;21;650;265;35;;;4;;10;NZMS 1;S 94;200;240;Hugh D. Wilson;Total rock: 25 %
Banks Peninsula Botanical Survey;94174;OKUTI VALLEY HEAD;1984;1;21;458;270;21;;;;0;7.3;NZMS 1;S 94;190;240;Hugh D. Wilson;Total rock: 1%
Banks Peninsula Botanical Survey;94175;OKUTI VALLEY HEAD;1984;1;21;302;250;21;;;1;;10;NZMS 1;S 94;290;250;Hugh D. Wilson;Total rock: 1%
Banks Peninsula Botanical Survey;94176;LAKE FORSYTH, KINLOCH;1984;1;22;32;320;9;;;;0;;NZMS 1;S 94;130;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94177;KINLOCH, LAKE FORSYTH;1984;1;22;200;280;28;;;2;;8;NZMS 1;S 94;130;230;Hugh D. Wilson;Total rock: 2%
Banks Peninsula Botanical Survey;94178;UNDER TE OKA PEAK, KINLOCH;1984;1;22;505;290;30;;;4;;12.5;NZMS 1;S 94;130;220;Hugh D. Wilson;Total rock: 8%
Banks Peninsula Botanical Survey;94179;KINLOCH, ABOVE LAKE FORSYTH;1984;1;22;292;275;16;90;5;;;70;NZMS 1;S 94;120;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94180;LAKE FORSYTH, KINLOCH;1984;1;22;30;330;26;;;;1;11;NZMS 1;S 94;110;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94181;ABOVE LAKE FORSYTH, KINLOCH;1984;1;22;106;295;20;;5;;;;NZMS 1;S 94;120;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94182;REYNOLDS VALLEY, OKUTI;1984;1;23;320;275;5;;;1;;0.5;NZMS 1;S 94;180;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94183;REYNOLDS VALLEY RD, OKUTI;1984;1;23;430;225;46;;;;0;22.5;NZMS 1;S 94;180;230;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94184;OKUTI VALLEY, UNDER SADDLE HILL;1984;1;23;564;330;28;;;1;;5;NZMS 1;S 94;190;230;Hugh D. Wilson;Total rock: 1%
Banks Peninsula Botanical Survey;94185;OKUTI VALLEY;1984;1;23;152;;9;;;;0;9;NZMS 1;S 94;180;250;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94186;REYNOLDS VALLEY, OKUTI;1984;1;23;150;5;24;60;;;;80;NZMS 1;S 94;170;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94187;OKUTI VALLEY;1984;1;24;18;;;;;;0;15;NZMS 1;S 94;140;250;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94188;LAKE FORSYTH;1984;1;24;2;;;;;;0;10;NZMS 1;S 94;120;250;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94189;LAKE FORSYTH;1984;1;24;3;;;;;;25;;NZMS 1;S 94;100;240;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94190;BIRDLINGS FLAT;1984;1;24;2;;;;;;5;;NZMS 1;S 94;070;220;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94191;GODLEY HEAD;1984;2;1;125;345;4;;;;1;;NZMS 1;S 84;150;490;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94192;BREEZE BAY, GODLEY HEAD;1984;2;1;76;120;26;;1;1;;12.5;NZMS 1;S 84;130;480;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94193;EVANS PASS;1984;2;1;250;80;11;;;;0;;NZMS 1;S 84;100;480;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94194;EVANS PASS, SUMMIT ROAD;1984;2;1;250;115;28;;;1;;6;NZMS 1;S 84;100;490;Hugh D. Wilson;Total rock: 15%
