NONAME,PLOTID,POINTX,POINTY,PANN0080,PSUM0080,PWIN0080,AVTEMP0080,MINTEM0080,MAXTEM0080,GDD,SOLRADR,MOISTR,UR1991_DNS,BLDG_DIST,DIST_HWSLD,DIST_METAL,DIST_PRIV,DIST_SRIV,DEM_10,ASPECT,SLOPE,PH_MID
30,33,2490364,5736361,706.02002,144.72,283.62,13.0219,5.0042,22.5708,2794,0.8375,3065.29554,90,0,18,1607.32,6525.72,35.95,0,0,0,6.1
31,34,2491278,5736377,642.73999,126.08,262.41,12.8598,4.8966,22.3932,2743,0.9093,2538.80072,144,63.84,293.48,1941.47,6679.62,254.99,144,295,24,5.2
32,35,2476668,5735200,850.33002,193.16,329.56,12.469,3.2524,23.3885,2608,0.774,4570.34899,0,537.26,36.02,1027.22,2430.64,577.49,38,260,7,6.7
33,37,2478496,5735232,875.26001,194.03,340.70999,12.3562,3.3244,23.0805,2578,0.7145,5105.84391,0,169.56,35.77,1566.4,3850.18,781.63,150,90,4,5.2
34,38,2479410,5735249,869.59003,189.69,341.42999,12.2852,3.389,22.873,2560,0.8724,4144.29783,0,913.87,878.28,933.69,4663.97,381.81,149,305,4,5.2
35,39,2480325,5735265,869.59003,188.24001,342.84,12.2813,3.5069,22.7402,2562,0.9182,3922.40083,0,536.31,541.86,981.84,5509.9,59.18,47,325,14,5.6
36,40,2481239,5735282,890.28003,193.98,348.97,11.7715,3.3109,21.9953,2411,0.8458,4522.68063,0,716.68,71.38,1651.27,6374.35,404.24,284,260,0,5.6
37,41,2482153,5735298,889.22998,195.74001,348.39001,11.5567,3.3103,21.5995,2349,0.9249,4184.79394,0,1045.07,901.18,2482.41,7250.71,130.31,225,295,28,5.6
38,42,2483067,5735315,873.5,194.59,343.35999,11.3551,3.3226,21.2164,2290,0.5065,7556.13429,0,1412.78,155.65,2459.89,7616.24,234.34,359,205,31,5.6
39,43,2483981,5735331,864.63,193.8,340.44,11.5335,3.5078,21.359,2345,0.7978,4661.95454,0,1242.6,316.95,1749.7,7342.44,151.58,257,30,30,5.6
40,44,2484895,5735348,848.89001,192.22,335.04001,11.6514,3.7235,21.3594,2382,0.8963,3985.55257,0,942.69,119.69,1198.91,7176.43,353.16,380,20,25,6.1
41,45,2485809,5735364,839.97998,190.52,331.85001,11.5529,3.7922,21.1084,2354,0.7012,5012.47996,0,552.76,201.23,1149.25,6814.18,415.59,308,80,33,6.1
42,46,2486724,5735381,838.34003,188.25,331.38,11.6868,3.9903,21.1549,2395,0.5939,5804.14811,0,365.26,228.9,1159.09,6333.39,252.5,236,200,61,6.1
43,47,2487638,5735397,833.28003,183.91,330.13,11.8256,4.1603,21.2404,2436,0.6616,5088.58365,0,749.4,208.23,289.71,5954.73,19.75,362,140,83,6.1
44,48,2488552,5735413,810.71997,174.77,323.82001,11.9129,4.2626,21.3021,2461,0.8314,3873.19621,0,993.52,320.3,552.3,5698.87,266.36,423,63,13,6.1
45,49,2489466,5735430,787.12,167.06,316.94,12.1058,4.3987,21.5231,2518,0.7481,4089.49536,0,567.77,70.71,849.57,5583.71,329.36,235,115,28,6.1
46,50,2490380,5735446,735.28003,150.62,300.76999,12.7107,4.7978,22.2424,2698,0.7615,3542.51398,0,324.23,72.4,709.83,5615.94,506.8,268,310,15,5.2
47,51,2491294,5735463,678.96002,133.38,281.45999,12.7681,4.8375,22.3166,2712,0.6566,3713.3088,0,618.25,242.73,1286.44,5795.02,176.34,94,130,27,5.6
48,52,2492209,5735479,640.40002,121.08,265.03,12.7013,4.7938,22.2468,2689,0.8094,2833.96566,0,371.6,213.71,2113.9,6106.6,67.86,141,15,19,5.6
49,53,2493123,5735496,655.92999,122.95,261.73999,12.9047,4.9215,22.5031,2747,0.9505,2496.33789,0,735.56,14.62,2992.13,6532.89,267.18,165,335,15,5.6
50,54,2494037,5735512,684.97998,129.78,258.20001,13.0712,5.0237,22.7056,2795,0.934,2717.15239,0,51.38,90.25,3886.77,7051.71,235.62,142,345,4,5.2
51,56,2475770,5734269,840.02002,195.53999,325.32001,12.3969,3.1895,23.3852,2583,0.8235,4337.26034,135,241.34,153.26,199.3,1147.67,262.74,9,0,0,6.7
52,57,2476684,5734285,855.22998,195.72,332.70999,12.1219,3.0962,22.9501,2503,0.8913,4148.37716,135,248.26,588.99,264.91,1813.86,653.4,83,209,22,5.6
53,58,2477598,5734302,870.40997,196.09,339.85999,12.0145,3.1196,22.7109,2473,0.908,4168.9195,0,590.36,605.34,1169.36,2621.89,886.38,123,355,21,5.6
54,59,2478513,5734318,882.29999,196.02,345.64999,11.9949,3.2089,22.5721,2470,0.8526,4500.2391,0,422.25,231.7,2083.24,3483.45,363.54,94,240,18,5.6
55,60,2479427,5734335,881.47998,194.52,346.44,11.88,3.1899,22.3751,2437,0.9383,4111.71156,0,1006.7,438.06,1800.79,4366.14,206.38,179,10,27,5.2
56,61,2480341,5734351,888.78998,194.64999,349.95001,11.8327,3.275,22.1963,2425,0.7781,5010.87463,0,1446.41,621.55,1826.43,5259.38,73.35,84,65,22,5.6
57,62,2481255,5734368,895.64001,196.16,352.75,11.5332,3.2065,21.7113,2337,0.8664,4625.41581,0,1529.01,188.27,2257.59,6158.94,534.84,358,0,0,5.6
58,63,2482169,5734384,885.63,195.10001,350.67001,11.2303,3.1411,21.2196,2248,0.8412,4786.44093,0,1889.85,345.94,2450.34,7062.09,117.77,292,275,12,5.6
59,64,2483083,5734401,864.52002,192.42,345.48999,11.5756,3.4925,21.5042,2354,0.5962,6359.84458,0,1160.29,192.98,2126.41,6769.09,110.28,361,65,50,6.1
60,65,2483998,5734417,854.81,191.38,343.10999,11.8782,3.7508,21.8025,2446,0.6397,5696.61108,0,654.12,440.22,1236.79,6459.19,51.3,195,100,29,6.1
61,66,2484912,5734433,837.09003,189.05,338.76001,12.3646,4.1876,22.2604,2594,0.5326,6367.12997,0,428.1,529.81,461.69,6268.85,46.64,145,165,45,6.1
62,67,2485826,5734450,829.15997,187.41,337.10999,12.3254,4.2775,22.0972,2583,0.8121,4064.26106,0,677.13,460.64,426.74,6088.25,275.58,325,265,32,6.1
63,68,2486740,5734466,826.73999,185.07001,337.01001,12.5352,4.5083,22.2491,2646,0.3629,8754.91291,39,221,119.72,1060.18,5544.59,442.26,209,144,6,5.6
64,69,2487654,5734483,824.28998,181.24001,337.01999,12.7982,4.7493,22.4887,2725,0.7559,4041.7525,51,2.27,17.65,221.62,5108.69,32.56,120,250,0,5.6
65,70,2488568,5734499,815.65997,175.09,335.70001,12.5718,4.6528,22.1678,2656,0.6552,4633.36362,0,438.23,364.38,491.46,4808.02,299.28,352,215,43,6.1
66,71,2489483,5734516,796.42999,168.84,324.76001,12.26,4.4841,21.7424,2563,0.7346,4135.91778,0,902.91,87.54,153.18,4670.68,290.24,242,80,11,6.1
67,72,2490397,5734532,754.62,154.7,311.72,12.9913,4.9682,22.6068,2781,0.7362,3676.19384,0,1178,682.82,257.5,4709.36,870.1,181,200,26,6.1
68,73,2491311,5734549,706.40002,139.36,294.79999,12.9836,4.9697,22.5971,2776,0.5519,4531.21743,0,1384.63,391.37,1097.91,4921.54,550.01,52,165,34,6.1
69,74,2492225,5734565,672.66998,128.23,279.78,13.121,5.0589,22.7681,2814,0.6485,3626.2011,0,1258.52,432.12,2003.7,5284.59,459.95,59,120,26,6.1
70,75,2493139,5734582,699.59003,133.03,279.92999,13.3103,5.1791,23.0044,2868,0.8641,2871.54703,0,1248.2,744.02,2722.86,5771.75,756.81,0,150,80,6.1
71,76,2475787,5733355,845.34998,198.19,328.35001,12.3801,3.2354,23.3465,2578,0.6083,5993.8075,135,176.37,394.8,823.23,597.91,897.84,28,70,18,6.1
72,77,2476701,5733371,859.22998,198.36,335.73999,12.3443,3.2942,23.2015,2569,0.7738,4801.09629,135,352.3,474.9,730.8,1506.69,495.36,121,316,22,5.6
73,78,2477615,5733388,873.79999,198.85001,342.98001,11.8814,3.0886,22.5401,2432,0.6028,6472.35809,0,803.7,1137.56,996.1,2419.58,230.71,200,175,3,5.6
74,79,2478529,5733404,890.40997,200.08,350.23999,11.5482,2.9743,22.0302,2334,0.8845,4609.27102,0,1205.08,939.12,1761.74,3333.11,105.42,64,60,21,5.6
75,80,2479443,5733421,898.58002,200.8,353.57999,11.3532,2.902,21.7399,2277,0.9122,4578.08621,0,1367.85,1070.6,2624.51,4246.95,58.52,285,350,14,5.6
76,81,2480357,5733437,907.06,200.64,357.57001,11.023,2.8009,21.2287,2180,0.8419,5134.49879,0,983.02,742.89,2229.63,5160.86,285.92,386,250,14,5.6
77,82,2481272,5733453,908.40997,199.8,359.16,11.2461,3.0594,21.3786,2249,0.7996,5322.86168,0,1261.96,73.55,1698.5,6075.84,192.17,308,345,24,5.6
78,83,2482186,5733470,894.57001,197.41,356.97,11.783,3.5225,21.9037,2412,0.6776,5916.29234,0,1254.6,263.12,1537.21,6407.38,211.51,270,160,31,6.1
79,84,2483100,5733486,857.10999,191.05,348.85001,12.3461,4.0034,22.4612,2583,0.7601,4789.14606,0,898.7,580.75,1702.15,5940.48,191.84,186,260,21,6.1
80,85,2484014,5733503,836.15997,188.23,341.67001,12.6318,4.3009,22.6653,2672,0.6889,4913.72097,165,62.33,65.54,1225.31,5586.22,143.47,54,80,11,5.6
81,86,2484928,5733519,827.23999,186.89999,339.87,12.7825,4.4559,22.7877,2718,0.8119,4040.17561,165,36.85,94.66,389.27,5365.01,172.36,43,40,15,5.6
82,87,2485842,5733536,819.71997,185.28999,339.01001,12.7977,4.5737,22.6966,2724,0.5554,5708.4646,117,2.67,3.8,63.07,5295.53,18.28,55,0,0,5.6
83,88,2486757,5733552,817.95001,182.95,339.51999,13.0043,4.7961,22.85,2786,0.6917,4390.11295,111,125,86.5,170.75,4800.98,636.46,1,0,0,5.6
84,89,2487671,5733569,816.71997,179.16,340.04999,13.1548,4.9613,22.9566,2831,0.7281,4014.46626,3,50,36.8,556.15,4290.18,439.17,8,0,0,5.6
85,91,2495898,5733717,846.52002,166.12,326.95999,13.3185,5.178,23.0673,2860,0.828,3779.59673,0,2326.82,2416.87,3754.13,6394.05,1678.8,16,340,40,5.2
86,92,2498641,5733766,778.27002,148.31,306.54999,13.2231,5.1303,22.9728,2821,0.7447,3831.52538,0,4583.62,4682.4,3923.5,4833.46,720.78,7,280,70,5.2
87,94,2476717,5732457,862.59998,201.07001,338.88,12.2401,3.2745,23.068,2537,0.5976,6367.92131,0,144.69,224.01,105.72,1708.36,160.64,24,0,0,5.6
88,95,2477631,5732473,876.14001,201.69,346.32001,11.8829,3.1339,22.5374,2431,0.8957,4434.86882,0,636.45,536.15,701.3,2549.98,262.48,161,355,15,5.6
89,96,2478546,5732490,895.87,203.94,354.89001,11.2727,2.8389,21.7007,2250,0.7784,5471.39854,0,1480.99,1241.68,1607.87,3429.7,261.92,301,65,15,5.6
90,97,2479460,5732506,908.59003,204.47,357.89001,11.128,2.7785,21.471,2208,0.9138,4747.37111,0,947.73,781.96,2519.07,4323.34,35.71,197,20,23,5.6
91,98,2480374,5732523,923.96002,205.75,363.89001,10.9931,2.7993,21.1973,2170,0.5767,7748.89189,0,78.06,9.42,1719.37,5223.94,571.13,430,185,7,5.6
92,99,2481288,5732539,927.81,204.8,366.19,11.4482,3.2027,21.6294,2309,0.6293,6903.87831,0,433.94,323.12,936.33,6013.79,82,188,180,26,6.1
93,100,2482202,5732556,910.14001,201.27,363.38,12.1901,3.7928,22.4052,2534,0.6906,5823.08807,0,340.58,144.14,627.22,5675.6,13.08,73,210,12,5.6
94,101,2483116,5732572,857.32001,191.64,351.95999,12.7348,4.2577,22.9464,2699,0.5358,6698.99352,0,830.73,104,917.44,5142.69,91.3,22,135,31,5.6
95,103,2495915,5732803,824.19,158.8,334.04999,13.23,5.1087,22.9947,2831,0.7596,3939.9352,0,3073.79,3170.92,2888.73,5488.05,998.46,133,115,20,5.2
96,104,2497743,5732836,841.63,163.06,334.39001,13.1674,5.0786,22.9278,2806,0.735,4235.52215,0,3945.85,4108.4,2754.82,4851.2,851.7,21,265,0,6.1
97,105,2498657,5732852,818.59003,157.25,326.25,12.8739,4.8981,22.5796,2714,0.8692,3538.53584,0,4254.8,4381.34,3111.39,4204.7,31.15,40,290,0,5.6
98,106,2499571,5732869,817.94,157.17,324.32999,12.9999,4.9876,22.7336,2748,0.7846,3896.71204,0,4723.97,4783.58,3458.6,3542.16,406.4,75,330,20,5.6
99,107,2475819,5731526,852.21997,202.07001,332.84,12.2522,3.2229,23.1773,2538,0.7377,5107.78837,0,326.98,476.33,1041.22,1824.54,277.9,112,250,12,5.2
100,108,2476734,5731543,866.23999,203,341.13,11.9458,3.1067,22.713,2448,0.9296,4217.97411,64,446.82,555.97,565.55,2289.37,489.18,176,330,16,5.6
101,109,2477648,5731559,878.81,203.63,348.62,11.6943,3.0322,22.3114,2374,0.8944,4543.60114,0,741.15,474.93,894.45,2971.02,171.89,104,325,31,5.6
102,110,2478562,5731576,899.34998,206.31,357.75,11.1736,2.7924,21.5846,2219,0.9043,4799.63376,0,1534.1,970.11,1708.44,3752.43,228.01,242,250,15,5.6
103,111,2479476,5731592,916.78003,209.44,364.03,10.8979,2.6648,21.2018,2137,0.9205,4922.01473,0,1239.19,109.41,2229.37,4583.57,466.29,433,345,10,5.6
104,112,2480390,5731609,947.64001,214.46001,374.85001,11.095,2.8921,21.333,2198,0.8133,5712.54136,0,756.81,72.49,1366.96,5428.62,149.03,404,290,15,5.6
105,113,2481304,5731625,974.17999,217.89,383.51999,12.0086,3.5817,22.3228,2475,0.7058,6370.19213,213,121.16,275.13,645.24,5124.92,324.18,125,125,22,5.3
106,115,2490446,5731790,787.65002,155.63,368.79999,13.2899,5.0707,23.1596,2861,0.8561,3056.12281,0,1353.18,1388.42,468.62,2030.15,283.16,2,250,4,5.2
107,116,2491360,5731806,823.89001,161.39999,375.91,12.9161,4.8509,22.6878,2746,0.7611,3745.02825,0,921.85,2247.36,46.32,2481.42,16.05,76,270,35,5.6
108,118,2493189,5731839,860.04999,167.49001,372.39999,12.362,4.5192,21.9994,2575,0.683,4684.68903,0,877.96,3201.91,1050.55,3905.62,178.84,77,160,23,5.6
109,119,2494103,5731856,869.90997,169.36,368.17999,11.9614,4.2702,21.5146,2451,0.7732,4368.14559,0,1776.16,3511.98,1931.39,4611.32,332.58,386,60,9,5.2
110,120,2495017,5731872,878.85999,171.32001,364.82001,12.4824,4.609,22.1377,2605,0.9098,3668.6321,0,2685.04,3530.02,2550.6,4518.56,100.58,110,330,33,5.6
111,121,2495931,5731889,874.65997,170.17999,361.20001,12.9255,4.8949,22.669,2737,0.5452,5937.80993,0,3055.3,3180.28,2043.21,4585.13,619.39,70,135,25,5.3
112,122,2497759,5731922,907.97998,178.73,362.92001,12.9251,4.9075,22.6705,2730,0.8804,3902.30898,0,3064.95,3229.31,1883.41,4281.55,610.85,110,285,0,6.1
113,123,2498673,5731938,883.28998,172.57001,353.13,12.1714,4.4344,21.7682,2500,0.9016,3889.78053,0,3453.62,3541.58,2374.64,3559.59,107.46,188,310,20,5.6
114,124,2499588,5731955,865.84003,168.28,345.59,12.585,4.7087,22.265,2621,0.6655,5023.2214,0,4017.92,4028.92,2997.85,2915.27,162.34,77,80,25,5.6
115,125,2501416,5731987,830.21002,159.42999,331.81,12.657,4.7736,22.351,2637,0.7619,4169.65909,0,5436.9,5348.47,1492.22,1659.73,229.18,96,70,20,5.6
116,126,2474922,5730596,836.62,201.7,325.13,12.4378,3.3064,23.487,2591,0.8009,4582.30635,0,261.01,7.63,524.19,2197.15,204.95,8,130,3,6.7
117,127,2475836,5730612,852.25,203.53,334.82999,12.1242,3.1776,23.0203,2499,0.5141,7446.26033,0,797.21,679.04,1097.35,2565.48,106.34,74,165,24,5.6
118,128,2476750,5730629,867.64001,205.42,344.25,11.5733,2.903,22.2663,2334,0.8252,4925.66887,0,1351.61,1420.08,1458.24,3038.45,188.2,210,310,7,5.6
119,129,2477664,5730645,880.96997,206.91,352.75,11.2412,2.7739,21.7722,2236,0.8299,5120.40688,0,1462.55,1351.62,1614.51,3442.86,209.95,280,15,17,5.6
120,130,2478578,5730662,899.40997,209.78999,362.20999,11.0373,2.7322,21.4302,2176,0.8837,5020.23877,0,2024.33,987.43,2180.67,4004.74,338.32,281,350,20,5.6
121,131,2479493,5730678,918.33002,213.7,369.42001,10.8189,2.6388,21.1191,2111,0.6316,7322.25614,0,1705.86,275.5,1964.79,4679.23,191.2,355,250,25,5.6
122,132,2480407,5730695,957.81,221.82001,383.79999,11.316,3.052,21.6163,2263,0.6741,6961.79086,0,849.75,569.09,1060.17,4608.23,195.13,273,85,23,6.1
123,133,2481321,5730711,998.46002,230.21001,398.06,12.5556,3.9429,23.0041,2637,0.6381,7069.90142,261,185.41,194.2,241.86,4246.47,189.33,47,110,0,5.3
124,136,2484978,5730777,959.51001,228.7,403.85001,13.0811,4.6293,23.3164,2799,0.5401,7426.3183,0,2107.84,2130.91,2396.46,2694.81,2263.46,36,110,28,5.2
125,137,2487720,5730826,774.13,165.81,371.35999,12.9843,4.7546,22.9746,2769,0.8393,3300.74035,117,0,37.07,505.08,2315.41,393.94,77,0,3,5.2
126,138,2488634,5730843,800.07001,164.69,385.78,12.7043,4.6153,22.5841,2684,0.8186,3444.16108,237,0,22.33,489.89,1544.36,104.16,83,0,0,5.2
127,139,2490463,5730876,870.72998,172.92999,412.09,13.1516,4.9449,23.0603,2816,0.783,3768.68881,0,968.85,1047.66,80.23,1202.57,136.22,22,260,9,5.2
128,140,2491377,5730892,930.56,185.16,424.44,12.2345,4.3799,21.9332,2538,0.8327,4115.40635,0,1022.82,1662.53,769.19,1866.53,195.57,352,286,32,6.1
129,141,2492291,5730909,971.10999,194.35001,427.28,11.6892,4.0469,21.26,2371,0.8521,4464.27126,0,536.42,2470.56,530.83,2682.36,160.18,168,295,21,5.6
130,142,2493205,5730925,975.78998,195.00999,419.70999,11.1828,3.735,20.6396,2216,0.8635,4655.22436,0,1046.53,3328.57,1110.8,3545.11,73.98,247,60,20,6.1
131,143,2494119,5730941,978.47998,195.44,412.35001,11.4059,3.887,20.8983,2281,0.7941,5059.72182,0,1873.45,3421.34,1963.99,3701.12,3.62,340,310,45,5.2
132,144,2495033,5730958,984.84998,196.99001,407.14001,12.5079,4.5991,22.214,2610,0.8703,4359.99705,0,2703.44,2772.28,1976.17,3604.9,282.02,345,40,19,6.1
133,145,2495948,5730974,904.94,176.63,381.92001,13.0583,4.9546,22.8722,2774,0.8294,3990.30982,0,2196.89,2308.86,1259.1,3686.96,282.18,2,20,55,5.3
134,146,2497776,5731007,957.98999,190.92,381.82001,12.4951,4.6226,22.1735,2599,0.8791,4272.50136,0,2210.69,2355.96,1084.61,3845.85,316.46,218,275,0,6.1
135,147,2498690,5731024,915.07001,180.14999,366.45001,11.9438,4.2794,21.5125,2430,0.8341,4442.04803,0,2725.18,2750.23,1808.75,3022.28,172.21,293,50,15,5.2
136,148,2499604,5731040,907.32001,178.36,361.13,12.3634,4.5581,22.0154,2553,0.8161,4386.86704,0,3410.76,3353.17,2510.01,2268.55,257.46,229,285,25,5.2
137,149,2500518,5731057,897.66998,176.08,355.45999,12.3004,4.5306,21.9389,2530,0.7899,4510.30801,0,4182.34,4074.27,1851.13,1631.01,169.74,88,265,22,5.6
138,150,2501432,5731073,857.64001,165.96001,342.89999,12.3459,4.5668,21.9928,2542,0.8634,3897.62441,0,5001.31,4860.27,963.43,963.9,95.25,180,270,10,5.2
139,152,2474938,5729682,841.16998,203.63,327.81,12.4418,3.3399,23.4906,2591,0.7537,4916.14323,0,195.85,220.61,1436.73,1323.84,57.6,7,0,0,6.7
140,153,2475852,5729698,854.13,205.38,337.51999,12.1385,3.2161,23.0386,2501,0.6706,5741.73838,0,638.15,639.41,1730.2,1872.63,78.03,74,202,15,5.6
141,154,2476767,5729715,869.62,207.95,347.78,11.799,3.0741,22.5413,2401,0.6864,5872.34466,0,1549.5,1549,2066.73,2202.25,42.2,230,248,10,5.6
142,155,2477678,5729730,888.09003,211.5,358.64999,11.7149,3.1001,22.3487,2377,0.6385,6527.37742,0,2324.21,1742.8,2392.86,2710.04,203.28,241,115,23,5.6
143,156,2478595,5729747,909.28003,216.02,369.98001,11.2017,2.8562,21.6404,2224,0.7831,5699.29391,0,2652.38,854.49,2870.44,3397.02,77.57,261,210,8,5.6
144,157,2479505,5729762,937.91998,222.75,383.01999,10.8105,2.6943,21.0783,2107,0.6813,7027.47283,0,1753.02,41.47,2030.58,4166.35,232.57,454,260,16,5.6
145,158,2480423,5729780,962.57001,228.86,392.28,11.3177,3.0635,21.64,2261,0.681,6993.92502,0,867.65,794.69,1138.71,3830.32,150.19,219,100,22,5.3
146,159,2481337,5729797,1011.44,240.3,410.26999,12.5332,3.9321,23.0053,2628,0.6712,6900.47924,162,272.33,156.76,257.11,3387.37,259.51,94,60,24,5.3
147,163,2487737,5729912,923.92999,202.41,425.37,12.2229,4.2284,22.127,2536,0.762,4770.5626,0,197.64,258.27,64.51,2086.94,96.63,176,275,11,5.2
148,164,2488651,5729929,949.54999,200.67999,441.42999,12.2879,4.3084,22.1517,2555,0.7633,4719.86997,0,263.74,415.77,142.2,1174.4,1.41,138,265,32,5.2
149,165,2489565,5729945,1102.15002,231.07001,493.62,12.925,4.7467,22.8722,2745,0.7825,5161.25562,0,159.8,68.75,333.81,272.58,267.54,47,65,0,5.3
150,166,2490479,5729961,1106.48999,228.22,499.16,12.9815,4.7959,22.9217,2761,0.7105,5617.29934,0,312.78,437.45,208.61,654.43,215.78,46,268,12,5.6
151,167,2491393,5729978,1167.68005,242.84,506.45001,11.7113,4.0065,21.3687,2377,0.845,5553.17911,0,1081.5,1338.59,1046.51,1531.37,83.69,407,247,34,6.1
152,168,2492307,5729994,1165.19995,242.03,494.87,10.7124,3.3855,20.1485,2074,0.8201,6207.99388,0,1451.45,2249.3,1443.54,2414.27,213.47,480,335,25,6.1
153,169,2493222,5730011,1038.25,210.14999,443.79001,10.8843,3.5272,20.3095,2125,0.8749,5052.48889,0,1721.53,3163.05,1742.13,3067.81,262.9,620,315,33,6.1
154,170,2494136,5730027,1036.91003,209.69,434.88,11.2892,3.7965,20.7843,2244,0.7176,6040.58092,0,2328.82,2805.45,1719.23,2794.87,218.81,376,50,22,6.1
