SBS_name,SBS_number,general_method,single_value_[m],sample_size,valid,reference,mean_CH_[m],maximum_CH_[m],minimum_CH_[m],number_of_replicates,standard_deviation,standard_error,collection_date,original_reference,country,external_support_structure
Pinus_nigra,593,derivation from photos or drawings,40,,1,BIOPOP April 2005,,40,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pinus_pinaster,607,observation (like obvious taxonomical traits),30,,1,ECOFLORA - database of the ecological flora of the british isles,,30,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pinus_strobus,623,derivation from photos or drawings,30,,1,BIOPOP April 2005,,40,20,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pinus_sylvestris,624,unknown,46,,1,BIOPOP April 2005,,46,,,,,,"Carlisle, A. (1968): Biological flora of the British Isles: Pinus sylvestris L. [56(1)]",,unknown
Pinus_sylvestris,624,unknown,22.5,,1,BIOPOP April 2005,,30,15,,,,,"Carlisle, A. (1968): Biological flora of the British Isles: Pinus sylvestris L. [56(1)]",,unknown
Pinus_sylvestris,624,derivation from photos or drawings,40,,1,BIOPOP April 2005,,40,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pinus_sylvestris,624,unknown,46,,1,BIOPOP April 2005,,46,,,,,,"Carlisle, A. (1968): Biological flora of the British Isles: Pinus sylvestris L. [56(1)]",,unknown
Pinus_sylvestris,624,observation (like obvious taxonomical traits),30,,1,ECOFLORA - database of the ecological flora of the british isles,,30,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Pinus_sylvestris,624,unknown,22.5,,1,BIOPOP April 2005,,30,15,,,,,"Carlisle, A. (1968): Biological flora of the British Isles: Pinus sylvestris L. [56(1)]",,unknown
Abies_grandis,634,derivation from photos or drawings,50,,1,BIOPOP April 2005,,70,30,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Abies_nordmanniana,639,derivation from photos or drawings,30,,1,BIOPOP April 2005,,30,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Larix_decidua,653,derivation from photos or drawings,35,,1,BIOPOP April 2005,,35,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Picea_abies,670,derivation from photos or drawings,50,,1,BIOPOP April 2005,,50,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Picea_glauca,684,unknown,30,,1,BIOPOP April 2005,,30,,,,,,"Humphries, C. J.(1990): Der Kosmos-Baumf¸hrer",GERMANY,unknown
Picea_omorika,686,derivation from photos or drawings,30,,1,BIOPOP April 2005,,30,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Picea_pungens,689,derivation from photos or drawings,35,,1,BIOPOP April 2005,,35,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Picea_sitchensis,691,derivation from photos or drawings,60,,1,BIOPOP April 2005,,60,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Abies_alba,697,derivation from photos or drawings,50,,1,BIOPOP April 2005,,50,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Juniperus_sabina,711,derivation from photos or drawings,4,,1,BIOPOP April 2005,,4,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Juniperus_sabina,711,derivation from photos or drawings,1.1,,1,BIOPOP April 2005,,2,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Chamaecyparis_lawsoniana,724,derivation from photos or drawings,25,,1,BIOPOP April 2005,,30,20,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Juniperus_communis,741,observation (like obvious taxonomical traits),10,,1,ECOFLORA - database of the ecological flora of the british isles,,10,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Juniperus_communis,741,derivation from photos or drawings,12,,1,BIOPOP April 2005,,12,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Juniperus_communis,741,derivation from photos or drawings,3,,1,BIOPOP April 2005,,5,1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Juniperus_communis,741,observation (like obvious taxonomical traits),5,,1,ECOFLORA - database of the ecological flora of the british isles,,5,,,,,,"Ward, L. (unknown e-mail address)",,unknown
Juniperus_communis,741,observation (like obvious taxonomical traits),0.1,,1,ECOFLORA - database of the ecological flora of the british isles,,,0.1,,,,,"Ward, L. (unknown e-mail address)",,unknown
Thuja_occidentalis,755,derivation from photos or drawings,17.5,,1,BIOPOP April 2005,,20,15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Thuja_occidentalis,755,unknown,15,,1,BIOPOP April 2005,,15,,,,,,"Liebenow, H. (1981): Giftpflanzen",,unknown
Thuja_orientalis,756,derivation from photos or drawings,7.5,,1,BIOPOP April 2005,,10,5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Thuja_orientalis,756,unknown,5,,1,BIOPOP April 2005,,5,,,,,,"Liebenow, H. (1981): Giftpflanzen",,unknown
Acer_monspessulanum,783,derivation from photos or drawings,11,,1,BIOPOP April 2005,,11,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_negundo,785,derivation from photos or drawings,11.5,,1,BIOPOP April 2005,,20,3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_opalus,791,derivation from photos or drawings,12,,1,BIOPOP April 2005,,12,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_platanoides,801,observation (like obvious taxonomical traits),30,,1,ECOFLORA - database of the ecological flora of the british isles,,30,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Acer_platanoides,801,unknown,25,,1,BIOPOP April 2005,,30,20,,,,,"Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa",,unknown
Acer_platanoides,801,derivation from photos or drawings,25,,1,BIOPOP April 2005,,25,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_platanoides,801,unknown,25,,1,BIOPOP April 2005,,25,,,,,,"Liebenow, H. (1981): Giftpflanzen",,unknown
Acer_pseudoplatanus,803,observation (like obvious taxonomical traits),18,,1,ECOFLORA - database of the ecological flora of the british isles,,,18,,,,,"Jones, E. W. (1944): no title given, publication in Journal of Ecology issue: 32 pages: 215-252 [32]",,unknown
Acer_pseudoplatanus,803,unknown,21,,1,BIOPOP April 2005,,24,18,,,,,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",,unknown
Acer_pseudoplatanus,803,unknown,40,,1,BIOPOP April 2005,,40,,,,,,"Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa",,unknown
Acer_pseudoplatanus,803,derivation from photos or drawings,25,,1,BIOPOP April 2005,,25,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_pseudoplatanus,803,observation (like obvious taxonomical traits),30,,1,ECOFLORA - database of the ecological flora of the british isles,,30,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Acer_pseudoplatanus,803,unknown,30,,1,BIOPOP April 2005,,30,,,,,,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",,unknown
Acer_saccharinum,805,derivation from photos or drawings,40,,1,BIOPOP April 2005,,40,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_campestre,811,actual measurement,13.75,1,1,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",,15.5,12,1,,,,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",UNITED KINGDOM,no
Acer_campestre,811,unknown,21,,1,BIOPOP April 2005,,22,20,,,,,"Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa",,unknown
Acer_campestre,811,derivation from photos or drawings,3,,1,BIOPOP April 2005,,5,1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Acer_campestre,811,unknown,12,,1,BIOPOP April 2005,,15,9,,,,,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",,unknown
Acer_campestre,811,observation (like obvious taxonomical traits),12,,1,ECOFLORA - database of the ecological flora of the british isles,,15,9,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Acer_campestre,811,observation (like obvious taxonomical traits),9,,1,ECOFLORA - database of the ecological flora of the british isles,,,9,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Acer_campestre,811,unknown,23.2,,1,BIOPOP April 2005,,23.2,,,,,,"Jones, E. W. (1944): Biological flora of the British Isles: Acer L.",,unknown
Taxus_baccata,835,observation (like obvious taxonomical traits),20,,1,ECOFLORA - database of the ecological flora of the british isles,,20,,,,,,"Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge []",,unknown
Taxus_baccata,835,unknown,20,,1,BIOPOP April 2005,,20,,,,,,"Cooper, M. R. (1984): Poisonous plants in Britain and their effects on animals and man",,unknown
