SBS_name,SBS_number,general_method,diaspore_type,single_value_[mg],sample_size,valid,median,reference,mean_SM_[mg],maximum_SM_[mg],minimum_SM_[mg],number_of_replicates,general_comment,Drying_method,original_reference,diaspore_type_code
Acer_pseudoplatanus,803,actual measurement,generative dispersule,188.2333333,1,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",188.2333333,188.2333333,188.2333333,1,,Air dried weight,,2
Acer_pseudoplatanus,803,actual measurement,germinule,44.8,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",44.8,,,25,,Air dried weight,,3
Acer_pseudoplatanus,803,actual measurement,germinule,110.717,,-4,,BIOLFLOR database,110.717,128.6,81.57,,,Air dried weight,,3
Acer_pseudoplatanus,803,actual measurement,germinule,26.8,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",26.8,,,100,,Air dried weight,,3
Acer_pseudoplatanus,803,actual measurement,germinule,34.47,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",34.47,,,20,,Air dried weight,,3
Acer_pseudoplatanus,803,actual measurement,one-seeded generative dispersule,44.8,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",44.8,,,25,,Air dried weight,,2a
Acer_pseudoplatanus,803,actual measurement,one-seeded generative dispersule,26.8,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",26.8,,,100,,Air dried weight,,2a
Acer_pseudoplatanus,803,actual measurement,one-seeded generative dispersule,34.47,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",34.47,,,20,,Air dried weight,,2a
Acer_pseudoplatanus,803,actual measurement,one-seeded generative dispersule,110.717,,-4,,BIOLFLOR database,110.717,128.6,81.57,,,Air dried weight,,2a
Acer_saccharinum,805,actual measurement,generative dispersule,39.14,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",39.14,,,1,"Measurement was number of seeds per kilogram, n an replicates unknown",Unknown,,2
Achillea_atrata,4794,actual measurement,germinule,0.32,,-4,,BIOLFLOR database,0.32,,,,,Air dried weight,,3
Achillea_atrata,4794,actual measurement,one-seeded generative dispersule,0.32,,-4,,BIOLFLOR database,0.32,,,,,Air dried weight,,2a
Achillea_cartilaginea,4689,actual measurement,one-seeded generative dispersule,0.23,,-4,,BIOLFLOR database,0.23,0.239,0.22,,,Air dried weight,,2a
Achillea_cartilaginea,4689,actual measurement,germinule,0.23,,-4,,BIOLFLOR database,0.23,0.239,0.22,,,Air dried weight,,3
Achillea_cartilaginea,4689,actual measurement,one-seeded generative dispersule,0.265,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",0.265,0.266,0.264,50,,Air dried weight,,2a
Achillea_clavennae,3559,actual measurement,germinule,0.494,,-4,,BIOLFLOR database,0.494,0.503,0.488,,,Air dried weight,,3
Achillea_clavennae,3559,actual measurement,one-seeded generative dispersule,0.494,,-4,,BIOLFLOR database,0.494,0.503,0.488,,,Air dried weight,,2a
Achillea_collina,3512,actual measurement,germinule,0.135,,-4,,BIOLFLOR database,0.135,0.141,0.132,,,Air dried weight,,3
Achillea_collina,3512,actual measurement,unknown,0.16,0,1,,"Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144]",0.16,,,0,,Air dried weight,"Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144]",4
Achillea_collina,3512,actual measurement,one-seeded generative dispersule,0.135,,-4,,BIOLFLOR database,0.135,0.141,0.132,,,Air dried weight,,2a
Achillea_distans,5359,actual measurement,one-seeded generative dispersule,0.303,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.303,,,100,,Air dried weight,,2a
Achillea_millefolium,3013,actual measurement,one-seeded generative dispersule,0.131,,-4,,BIOLFLOR database,0.131,0.16,0.1,,,Air dried weight,,2a
Achillea_millefolium,3013,actual measurement,one-seeded generative dispersule,0.1286,5,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",0.1286,0.136,0.124,100,,Air dried weight,,2a
Achillea_millefolium,3013,other,one-seeded generative dispersule,0.1692,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",0.1692,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Achillea_millefolium,3013,actual measurement,generative dispersule,0.07,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",0.07,,,1,n an replicates unknown,Air dried weight,,2
Achillea_millefolium,3013,actual measurement,germinule,0.16,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.16,,,50,,Air dried weight,,3
Achillea_millefolium,3013,actual measurement,germinule,0.131,,-4,,BIOLFLOR database,0.131,0.16,0.1,,,Air dried weight,,3
Achillea_millefolium,3013,actual measurement,germinule,0.05,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",0.05,,,50,50-2000 air-dried matured seeds,Air dried weight,,3
Achillea_millefolium,3013,actual measurement,one-seeded generative dispersule,0.16,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.16,,,50,,Air dried weight,,2a
Achillea_millefolium,3013,actual measurement,germinule,0.133,7,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",0.133,,,1,summers of 1995 and 1996,Unknown,,3
Achillea_millefolium,3013,actual measurement (following LEDA data standards),germinule,0.14,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.14,,,100,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_millefolium,3013,other,germinule,0.1692,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",0.1692,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Achillea_millefolium,3013,actual measurement (following LEDA data standards),germinule,0.14,1,-2,0.14,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.14,0.14,0.14,,preaggregated value obtained from single record,Air dried weight,,3
Achillea_nobilis,3014,actual measurement,one-seeded generative dispersule,0.061,,-4,,BIOLFLOR database,0.061,0.062,0.06,,,Air dried weight,,2a
Achillea_nobilis,3014,actual measurement,germinule,0.061,,-4,,BIOLFLOR database,0.061,0.062,0.06,,,Air dried weight,,3
Achillea_nobilis,3014,actual measurement,generative dispersule,0.068,5,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",0.068,0.08,0.05,1,,Air dried weight,,2
Achillea_pannonica,5321,actual measurement,germinule,0.138,,-4,,BIOLFLOR database,0.138,0.138,0.137,,,Air dried weight,,3
Achillea_pannonica,5321,actual measurement,one-seeded generative dispersule,0.138,,-4,,BIOLFLOR database,0.138,0.138,0.137,,,Air dried weight,,2a
Achillea_ptarmica,4799,actual measurement,germinule,0.223,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.223,,,100,,Air dried weight,,3
Achillea_ptarmica,4799,actual measurement,germinule,0.246,,-4,,BIOLFLOR database,0.246,0.3,0.213,,,Air dried weight,,3
Achillea_ptarmica,4799,actual measurement,one-seeded generative dispersule,0.223,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.223,,,100,,Air dried weight,,2a
Achillea_ptarmica,4799,actual measurement,one-seeded generative dispersule,0.246,,-4,,BIOLFLOR database,0.246,0.3,0.213,,,Air dried weight,,2a
Achillea_ptarmica,4799,actual measurement,one-seeded generative dispersule,0.0835,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",0.0835,0.087,0.08,100,,Air dried weight,,2a
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.38,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.38,,,100,"used balance: Mettler H51, seed without pappus",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.33,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.33,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.31,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.31,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.3,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.3,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.31,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.31,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.3,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.3,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.32,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.32,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.28,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.28,,,20,"used balance: Mettler H51, seed",Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.31,7,-2,0.31,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.31,0.33,0.28,,preaggregated value obtained from single record,Air dried weight,,3
Achillea_ptarmica,4799,actual measurement (following LEDA data standards),germinule,0.38,1,-2,0.38,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",0.38,0.38,0.38,,preaggregated value obtained from single record,Air dried weight,,3
Achillea_setacea,5941,actual measurement,one-seeded generative dispersule,0.17,,-4,,BIOLFLOR database,0.17,0.176,0.166,,,Air dried weight,,2a
Achillea_setacea,5941,actual measurement,germinule,0.17,,-4,,BIOLFLOR database,0.17,0.176,0.166,,,Air dried weight,,3
Achillea_stricta,3840,actual measurement,unknown,0.22,0,1,,"Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144]",0.22,,,0,,Air dried weight,"Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144]",4
Achnatherum_calamagrostis,41606,actual measurement,one-seeded generative dispersule,0.29,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",0.29,,,50,50-2000 air-dried matured seeds,Air dried weight,,2a
Acinos_arvensis,24493,actual measurement,one-seeded generative dispersule,0.255,,-4,,BIOLFLOR database,0.255,0.3,0.232,,,Air dried weight,,2a
Acinos_arvensis,24493,actual measurement,one-seeded generative dispersule,0.224,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.224,,,100,,Air dried weight,,2a
Acinos_arvensis,24493,other,one-seeded generative dispersule,1.3676,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",1.3676,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acinos_arvensis,24493,actual measurement,germinule,0.224,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.224,,,100,,Air dried weight,,3
Acinos_arvensis,24493,actual measurement,germinule,0.255,,-4,,BIOLFLOR database,0.255,0.3,0.232,,,Air dried weight,,3
Acinos_arvensis,24493,other,germinule,1.3676,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",1.3676,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Aconitum_lycoctonum,27413,actual measurement,germinule,3.11,,-4,,BIOLFLOR database,3.11,3.12,3.1,,,Air dried weight,,3
Aconitum_lycoctonum,27413,actual measurement,generative dispersule,3.4065,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",3.4065,3.498,3.315,100,,Air dried weight,,2
Aconitum_lycoctonum,27413,actual measurement,one-seeded generative dispersule,3.11,,-4,,BIOLFLOR database,3.11,3.12,3.1,,,Air dried weight,,2a
Aconitum_napellus,27279,actual measurement,one-seeded generative dispersule,3,,-4,,BIOLFLOR database,3,,,,,Air dried weight,,2a
Aconitum_napellus,27279,actual measurement,one-seeded generative dispersule,4.21,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",4.21,,,50,,Air dried weight,,2a
Aconitum_napellus,27279,other,one-seeded generative dispersule,4.1964,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",4.1964,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Aconitum_napellus,27279,actual measurement,germinule,3,,-4,,BIOLFLOR database,3,,,,,Air dried weight,,3
Aconitum_napellus,27279,actual measurement,germinule,4.21,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",4.21,,,50,,Air dried weight,,3
Aconitum_napellus,27279,other,germinule,4.1964,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",4.1964,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acorus_calamus,35825,actual measurement,generative dispersule,1.5185,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",1.5185,1.596,1.441,100,,Air dried weight,,2
Actaea_spicata,27324,actual measurement,multi-seeded generative dispersule,461,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",461,,,1,n an replicates unknown,Fresh weight,,2b
Actaea_spicata,27324,actual measurement,germinule,5.9,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",5.9,,,1,n an replicates unknown,Air dried weight,,3
Actaea_spicata,27324,other,germinule,6.964,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",6.964,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Actaea_spicata,27324,other,germinule,5.9168,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",5.9168,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Adenocarpus_telonensis,21581,actual measurement,germinule,7,0,1,,"Lopez, Josefa(2000): Production and morphology of fruit and seeds in Genisteae (Fabaceae) of south-west Spain [132]",7,,,90,,Unknown,"Lopez, Josefa(2000): Production and morphology of fruit and seeds in Genisteae (Fabaceae) of south-west Spain [132]",3
Adenophora_lilifolia,15316,actual measurement,one-seeded generative dispersule,0.257,,-4,,BIOLFLOR database,0.257,0.263,0.252,,,Air dried weight,,2a
Adenophora_lilifolia,15316,actual measurement,one-seeded generative dispersule,0.3685,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",0.3685,0.375,0.362,100,,Air dried weight,,2a
Adenophora_lilifolia,15316,actual measurement,germinule,0.257,,-4,,BIOLFLOR database,0.257,0.263,0.252,,,Air dried weight,,3
Adenostyles_alpina_subsp._alpina,3190,actual measurement,germinule,1.3875,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",1.3875,1.444,1.331,100,,Air dried weight,,3
Adonis_aestivalis,27328,actual measurement,germinule,11.522,,-4,,BIOLFLOR database,11.522,14,7.4,,,Air dried weight,,3
Adonis_aestivalis,27328,actual measurement,one-seeded generative dispersule,11.522,,-4,,BIOLFLOR database,11.522,14,7.4,,,Air dried weight,,2a
Adonis_annua,27329,actual measurement,germinule,11.6,,-4,,BIOLFLOR database,11.6,18.4,4.8,,,Air dried weight,,3
Adonis_annua,27329,actual measurement,one-seeded generative dispersule,11.6,,-4,,BIOLFLOR database,11.6,18.4,4.8,,,Air dried weight,,2a
Adonis_flammea,27336,actual measurement,one-seeded generative dispersule,9.88,,-4,,BIOLFLOR database,9.88,10.113,9.641,,,Air dried weight,,2a
Adonis_flammea,27336,actual measurement,germinule,9.88,,-4,,BIOLFLOR database,9.88,10.113,9.641,,,Air dried weight,,3
Adonis_vernalis,29095,actual measurement,germinule,10.6,,-4,,BIOLFLOR database,10.6,,,,,Air dried weight,,3
Adonis_vernalis,29095,actual measurement,one-seeded generative dispersule,10.6,,-4,,BIOLFLOR database,10.6,,,,,Air dried weight,,2a
Adoxa_moschatellina,2407,actual measurement,one-seeded generative dispersule,0.628,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",0.628,,,100,,Air dried weight,,2a
Adoxa_moschatellina,2407,actual measurement,generative dispersule,0.63,,-4,,BIOLFLOR database,0.63,,,,,Unknown,,2
Aegilops_cylindrica,42076,actual measurement,generative dispersule,33.61,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",33.61,,,1,n an replicates unknown,Air dried weight,,2
Aegilops_geniculata,41112,actual measurement,generative dispersule,8.32,1,1,,"Götzenberger, Lars (lars.goetzenberger@ufz.de)",8.32,,,1,n and replicates unknown,Air dried weight,,2
Aegilops_geniculata,41112,actual measurement,germinule,6.821333333,1,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",6.821333333,6.821333333,6.821333333,75,,Air dried weight,,3
Aegilops_geniculata,41112,actual measurement,one-seeded generative dispersule,12.68,0,1,,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",12.68,,,100,,Air dried weight,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",2a
Aegilops_neglecta,40461,actual measurement,one-seeded generative dispersule,25.81,0,1,,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",25.81,,,100,,Air dried weight,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",2a
Aegilops_triuncialis,40521,actual measurement,one-seeded generative dispersule,12.35,0,1,,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",12.35,,,100,,Air dried weight,"Maranon, T.(1993): Physiological-Basis and Ecological Significance of the Seed Size and Relative Growth-Rate Relationship in Mediterranean Annuals [7]",2a
Aegopodium_podagraria,2007,actual measurement,one-seeded generative dispersule,2.734,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",2.734,,,100,,Air dried weight,,2a
Aegopodium_podagraria,2007,actual measurement,one-seeded generative dispersule,2.213,,-4,,BIOLFLOR database,2.213,2.73,1.68,,,Air dried weight,,2a
Aegopodium_podagraria,2007,actual measurement,germinule,2.734,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",2.734,,,100,,Air dried weight,,3
Aegopodium_podagraria,2007,actual measurement,germinule,2.213,,-4,,BIOLFLOR database,2.213,2.73,1.68,,,Air dried weight,,3
Aegopodium_podagraria,2007,actual measurement (following LEDA data standards),germinule,1.54,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",1.54,,,10,"used balance: Mettler H51, seed",Air dried weight,,3
Aegopodium_podagraria,2007,actual measurement (following LEDA data standards),germinule,1.36,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",1.36,,,10,"used balance: Mettler H51, seed",Air dried weight,,3
Aegopodium_podagraria,2007,actual measurement (following LEDA data standards),germinule,1.66,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",1.66,,,10,"used balance: Mettler H51, seed",Air dried weight,,3
Aegopodium_podagraria,2007,actual measurement (following LEDA data standards),germinule,1.54,1,-4,,"Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl",1.54,,,10,"used balance: Mettler H51, seed",Air dried weight,,3
